Sigla	Codigo	Município	2010	2012	2014	2016	2018
BA	2907004	Cardeal da Silva	4716	5891	4935	6028	5244
BA	2907103	Carinhanha	14166	15985	14760	17260	15433
BA	2907202	Casa Nova	36819	42115	40097	43866	41566
BA	2907301	Castro Alves	16255	18414	16682	18527	16729
BA	2907400	Catolândia	2609	3104	2356	3323	2797
BA	2907509	Catu	30398	32674	31876	34058	32750
BA	2907558	Caturama	4790	6130	4838	6781	5399
BA	2907608	Central	9631	10615	9773	11010	10049
BA	2907707	Chorrochó	6631	7418	6762	7788	6718
BA	2907806	Cícero Dantas	17752	20378	18264	20715	18796
BA	2907905	Cipó	9047	10603	9685	10923	9900
BA	2908002	Coaraci	12465	13793	12157	13278	11709
BA	2908101	Cocos	9698	11953	9880	12905	11426
BA	2908200	Conceição da Feira	11350	12747	12356	13772	13906
BA	2908309	Conceição do Almeida	10345	12198	11083	12426	11106
BA	2908408	Conceição do Coité	36844	41662	39866	44113	41055
BA	2908507	Conceição do Jacuípe	16731	18306	18133	20254	19400
BA	2908606	Conde	11146	13459	11865	13887	12675
BA	2908705	Condeúba	9790	11885	10121	11957	10388
BA	2908804	Contendas do Sincorá	2604	3157	2839	3428	3044
BA	2908903	Coração de Maria	14993	16664	15941	17252	16416
BA	2909000	Cordeiros	4328	5210	4509	5567	4760
BA	2909109	Coribe	8640	10374	8815	9872	8955
BA	2909208	Coronel João Sá	8942	10858	9666	11797	10008
BA	2909307	Correntina	17506	20935	18233	21625	18834
BA	2909406	Cotegipe	7256	9024	7703	9678	8189
BA	2909505	Cravolândia	3120	3535	2988	3607	3002
BA	2909604	Crisópolis	10476	12245	10763	12637	11436
BA	2909703	Cristópolis	8467	10115	8662	10386	8883
BA	2909802	Cruz das Almas	32536	35300	35385	37368	38588
BA	2909901	Curaçá	18165	20250	18644	20748	19008
BA	2910008	Dário Meira	5769	6555	5764	6420	5749
BA	2910057	'Dias d''Ávila'	31474	34402	34754	38581	39326
BA	2910107	Dom Basílio	7181	8533	7552	8898	7795
BA	2910206	Dom Macedo Costa	2883	3444	2911	3453	3283
BA	2910305	Elísio Medrado	5726	6736	5517	6449	5381
BA	2910404	Encruzilhada	10747	11939	10265	12202	10785
BA	2910503	Entre Rios	19621	22832	21170	24121	23107
BA	2910602	Esplanada	16684	19152	17620	20371	18788
BA	2910701	Euclides da Cunha	28986	31798	30712	33924	31984
BA	2910727	Eunápolis	50348	55375	53938	58668	62399
BA	2910750	Fátima	10082	11558	10504	12167	11114
BA	2910776	Feira da Mata	3266	4167	3432	4391	3571
BA	2910800	Feira de Santana	298991	315730	235995	329617	342314
BA	2910859	Filadélfia	9632	10858	9932	11360	10347
BA	2910909	Firmino Alves	3112	3740	3073	4028	3418
BA	2911006	Floresta Azul	5539	6028	5274	5893	5440
BA	2911105	Formosa do Rio Preto	11675	14383	12374	15798	13312
BA	2911204	Gandu	15292	16448	15373	17401	16532
BA	2911253	Gavião	3042	3606	3079	3841	3236
BA	2911303	Gentio do Ouro	6360	7450	6824	7786	6954
BA	2911402	Glória	8938	9945	9499	10732	9926
BA	2911501	Gongogi	3700	4342	3386	4087	3424
BA	2911600	Governador Mangabeira	11691	13368	11611	12871	12652
BA	2911659	Guajeru	4450	5305	4655	5525	4644
BA	2911709	Guanambi	43571	46789	46847	50873	51637
BA	2911808	Guaratinga	10834	12982	10900	12680	10625
BA	2911857	Heliópolis	7363	8950	7790	9906	8634
BA	2911907	Iaçu	13367	14558	13180	15784	14407
BA	2912004	Ibiassucê	6142	7199	6513	7446	6428
BA	2912103	Ibicaraí	13009	14845	13565	14329	13328
BA	2912202	Ibicoara	8640	10888	9662	11663	10174
BA	2912301	Ibicuí	8274	9340	7920	8612	7828
BA	2912400	Ibipeba	9368	10352	9350	11680	10140
BA	2912509	Ibipitanga	7484	9459	8059	10595	8779
BA	2912608	Ibiquera	2480	2927	2356	2974	2388
BA	2912707	Ibirapitanga	9224	11150	10051	11643	10357
BA	2912806	Ibirapuã	4385	5418	4737	6037	5061
BA	2912905	Ibirataia	11363	12431	11120	11986	11033
BA	2913002	Ibitiara	8370	9161	8159	9502	8692
BA	2913101	Ibititá	10205	12314	11031	12411	11092
BA	2913200	Ibotirama	13606	15067	13920	15352	14860
BA	2913309	Ichu	3902	4526	4158	4901	4422
BA	2913408	Igaporã	8283	9635	8691	9998	9403
BA	2913457	Igrapiúna	6805	7656	6788	7997	6614
BA	2913507	Iguaí	12831	14493	12560	14499	12723
BA	2913606	Ilhéus	95880	99329	95722	100002	98480
BA	2913705	Inhambupe	18164	20921	18840	20813	19232
BA	2913804	Ipecaetá	9164	10902	9670	11648	10789
BA	2913903	Ipiaú	22380	25118	22806	24190	22902
BA	2914000	Ipirá	30992	34768	32456	37250	35519
